iter	MAE
0	0.05302132661
1	0.0529086524
2	0.05285734091
3	0.05279330567
4	0.05274786219
5	0.05268958111
6	0.05265989412
7	0.05261615169
8	0.05259375094
9	0.05258749877
10	0.05257337312
11	0.05255149581
12	0.0525468573
13	0.0525358838
14	0.05251237189
15	0.05250433712
16	0.05248346139
17	0.05247424203
18	0.05245579239
19	0.05244874085
20	0.0524306145
21	0.05241792777
22	0.05241789263
23	0.0524155014
24	0.05241254158
25	0.05239468874
26	0.05237935718
27	0.05237504615
28	0.05237385944
29	0.05236738728
30	0.05236066383
31	0.05235342297
32	0.05234711101
33	0.05233585299
34	0.05232792597
35	0.05232038396
36	0.05231365741
37	0.05230558375
38	0.05230480233
39	0.05229778706
40	0.05228598525
41	0.05227861956
42	0.05225364686
43	0.05224569483
44	0.05224553215
45	0.05223328227
46	0.05222302238
47	0.05221387146
48	0.05220235375
49	0.05219142594
50	0.05218804846
51	0.05218689707
52	0.05218369427
53	0.05217404044
54	0.05217090102
55	0.05216642796
56	0.05215741385
57	0.05214980171
58	0.05214116865
59	0.05212983334
60	0.05212167161
61	0.05211485608
62	0.05210342913
63	0.05209084791
64	0.05208431251
65	0.05207013651
66	0.05206131111
67	0.05205714507
68	0.05204423969
69	0.05202623571
70	0.05202609287
71	0.05201982674
72	0.05201262085
73	0.05201226377
74	0.05200703194
75	0.05200703185
76	0.05199844505
77	0.05199011171
78	0.05198095913
79	0.05197633687
80	0.05197122573
81	0.05196721634
82	0.05196252677
83	0.05195886957
84	0.05195358328
85	0.05194982817
86	0.05193847605
87	0.05193106958
88	0.05191087856
89	0.05190312668
90	0.05189753447
91	0.05189463821
92	0.05189463851
93	0.05188942701
94	0.05188090168
95	0.05187933922
96	0.05187773521
97	0.05185965823
98	0.0518555521
99	0.05185252292
100	0.05184788601
101	0.05183847267
102	0.05183145455
103	0.05182608612
104	0.05182519399
105	0.05181649731
106	0.05181649722
107	0.05181490782
108	0.05181464291
109	0.05180721077
110	0.05180482805
111	0.05179067965
112	0.05178338411
113	0.05177287207
114	0.05176512037
115	0.05175672647
116	0.05175116953
117	0.05174321085
118	0.05173937435
119	0.05172971316
120	0.05172767192
121	0.05172519626
122	0.05172418732
123	0.05171824008
124	0.051697275
125	0.05168498308
126	0.05168022278
127	0.05167998374
128	0.05166568715
129	0.05166178765
130	0.05166141583
131	0.05165785665
132	0.05165444574
133	0.05165199821
134	0.05164412638
135	0.05164398227
136	0.05163552032
137	0.05163435162
138	0.05162658329
139	0.05162257722
140	0.05162163163
141	0.05161460827
142	0.05160995129
143	0.05160602982
144	0.05159317633
145	0.0515889275
146	0.05158876149
147	0.05157629099
148	0.05157450568
149	0.05156272626
150	0.05155759087
151	0.05155472039
152	0.05154645656
153	0.0515410042
154	0.05153862709
155	0.05153654023
156	0.05153178619
157	0.05152581038
158	0.05152298817
159	0.05152059659
160	0.0515099106
161	0.05150797281
162	0.05149865019
163	0.05149635714
164	0.05149563894
165	0.0514916597
166	0.0514884279
167	0.05148589407
168	0.05147809511
169	0.05147300394
170	0.05147286163
171	0.05146345788
172	0.05146172945
173	0.05145571078
174	0.05145070541
175	0.05144486401
176	0.05144297527
177	0.05143817955
178	0.05143435418
179	0.05143032707
180	0.05142921985
181	0.05142882105
182	0.05142243064
183	0.05141482353
184	0.0514135446
185	0.05140877345
186	0.05140293604
187	0.0513953096
188	0.05138174922
189	0.05136536136
190	0.05135828504
191	0.05135377229
192	0.05134731894
193	0.05134035942
194	0.05132547703
195	0.05130935687
196	0.05130320491
197	0.05130218737
198	0.05129984574
199	0.05129241519
