0	42973	215
1	46088	465
2	40915	623
3	42976	877
4	43843	1124
5	43375	1341
6	40930	1484
7	41134	1713
8	41463	1953
9	37964	1998
10	38468	2238
11	38178	2436
12	35749	2485
13	34548	2600
14	33791	2739
15	33604	2922
16	33699	3130
17	34220	3384
18	34511	3622
19	34923	3880
20	35233	4133
21	34639	4281
22	33169	4310
23	32453	4425
24	31896	4556
25	30906	4618
26	31143	4860
27	30279	4929
28	29325	4973
29	28878	5096
30	29311	5376
31	29345	5589
32	29453	5820
33	29543	6051
34	29031	6158
35	29174	6404
36	28876	6554
37	28987	6799
38	28361	6870
39	28365	7091
40	28411	7326
41	28378	7543
42	28215	7727
43	28620	8072
44	28180	8181
45	28206	8425
46	28243	8676
47	28212	8909
48	28165	9139
49	28147	9382
50	27620	9454
51	27301	9592
52	26809	9665
53	26747	9892
54	26725	10137
55	26774	10412
56	26687	10637
57	26635	10879
58	26528	11100
59	26522	11366
60	26390	11581
61	26305	11818
62	26279	12084
63	26109	12286
64	26087	12560
65	25959	12785
66	25797	12995
67	25677	13227
68	25555	13460
69	25377	13664
70	24899	13704
71	24812	13956
72	24699	14197
73	24299	14271
74	24197	14518
75	23732	14545
76	23630	14793
77	23499	15024
78	23395	15274
79	23247	15498
80	23163	15767
81	23091	16046
82	22904	16248
83	22821	16525
84	22668	16755
85	22341	16853
86	22176	17073
87	22041	17317
88	21901	17560
89	21746	17792
90	21577	18014
91	21261	18111
92	20871	18140
93	20708	18364
94	20587	18626
95	20435	18863
96	20271	19090
97	20108	19319
98	19953	19558
99	19775	19775
100	19627	20023
101	19473	20268
102	19264	20456
103	18983	20565
104	18722	20693
105	18584	20957
106	18226	20970
107	17965	21090
108	17644	21134
109	17487	21373
110	17252	21517
111	17099	21762
112	16928	21988
113	16774	22235
114	16605	22466
115	16410	22662
116	16266	22929
117	16086	23148
118	15846	23280
119	15650	23475
120	15462	23683
121	15231	23823
122	15047	24037
123	14883	24283
124	14729	24549
125	14547	24769
126	14378	25014
127	14112	25088
128	13939	25326
129	13778	25588
130	13559	25743
131	13377	25968
132	13188	26180
133	13030	26456
134	12832	26652
135	12563	26698
136	12385	26933
137	12210	27179
138	12035	27424
139	11855	27661
140	11619	27768
141	11428	27980
142	11258	28244
143	11074	28476
144	10885	28697
145	10699	28929
146	10440	28957
147	10253	29182
148	10012	29252
149	9817	29453
150	9627	29666
151	9445	29910
152	9262	30151
153	9074	30381
154	8888	30617
155	8655	30687
156	8470	30927
157	8275	31132
158	8086	31359
159	7863	31454
160	7652	31589
161	7468	31839
162	7275	32051
163	7084	32273
164	6861	32348
165	6670	32567
166	6482	32807
167	6272	32932
168	6077	33134
169	5882	33332
170	5660	33379
171	5474	33630
172	5265	33738
173	5076	33975
174	4890	34236
175	4704	34503
176	4514	34741
177	4320	34958
178	4120	35125
179	3924	35318
180	3715	35398
181	3511	35500
182	3319	35738
183	3130	35996
184	2924	36069
185	2734	36323
186	2542	36573
187	2351	36832
188	2158	37078
189	1963	37297
190	1768	37537
191	1573	37762
192	1383	38139
193	1186	38371
194	990	38617
195	792	38835
196	595	39072
197	396	39214
198	198	39449
199	0	39691
